number,values_0,values_1,values_2,datetime_start,datetime_complete,duration,params_conf_easy,params_conf_hard,params_nms_easy,params_nms_hard,params_raw_blur,params_raw_crowd,params_raw_edge,params_raw_night,params_raw_tiny,params_threshold_a,params_threshold_b,user_attrs_AssA,user_attrs_DetA,user_attrs_FN,user_attrs_FP,user_attrs_FPS,user_attrs_HOTA,user_attrs_IDF1,user_attrs_IDS,user_attrs_MOTA,user_attrs_empirical_params,user_attrs_feasible,user_attrs_mean_conf,user_attrs_mean_imgsz,user_attrs_mean_nms_iou,state
10,0.186591432177593,160.0,42.316218402484395,2026-09-11 12:42:07.537074,2026-09-11 12:44:54.176362,0 days 00:02:46.639288,0.25,0.4,0.5,0.55,0.021128497657989243,0.03201764692272652,0.9695371107878658,0.4601134845125678,0.0059971829558171375,0.7384055447250208,0.4383211177817,0.5103700354248764,0.20164148734539286,49030.0,5589.0,42.316218402484395,0.31829619705163853,0.35103946344617476,160.0,0.186591432177593,"{'weight_crowd': 0.02150576142983939, 'weight_tiny': 0.0040282156340275925, 'weight_edge': 0.6512231786521316, 'weight_night': 0.3090511570841181, 'weight_blur': 0.01419168719988318, 'conf_easy': 0.25, 'conf_hard': 0.4, 'nms_easy': 0.5, 'nms_hard': 0.55, 'threshold_mid': 0.4383211177817, 'threshold_high': 0.7384055447250208}",True,0.3262374122020941,728.2642304989458,0.5254124707340314,COMPLETE
11,0.12620090578365134,128.0,53.801582689734346,2026-09-11 12:44:54.363590,2026-09-11 12:47:25.994191,0 days 00:02:31.630601,0.35,0.4,0.55,0.55,0.013571464310098189,0.35609122333499366,0.7415437440682708,0.4832461946965884,0.9156379707788742,0.9647260957387356,0.9992753197076503,0.4497522072388128,0.12424116417256377,56801.0,1917.0,53.801582689734346,0.23505599938086635,0.22562213367415984,128.0,0.12620090578365134,"{'weight_crowd': 0.14186389277494518, 'weight_tiny': 0.36478283764113634, 'weight_edge': 0.2954250913886385, 'weight_night': 0.19252141545719495, 'weight_blur': 0.005406762738085049, 'conf_easy': 0.35, 'conf_hard': 0.4, 'nms_easy': 0.55, 'nms_hard': 0.55, 'threshold_mid': 0.9647260957387356, 'threshold_high': 0.9992753197076503}",True,0.3647177258140546,512.0,0.5499999999999999,COMPLETE
12,0.12329051896948548,154.0,54.02872791979036,2026-09-11 12:47:26.174496,2026-09-11 12:49:59.613378,0 days 00:02:33.438882,0.35,0.4,0.7,0.7,0.27064385067844043,0.35887559869352514,0.7677799153813428,0.4228738347125746,0.6285106849182286,0.7089836020820056,0.712446199417957,0.45193665214226253,0.12330114517425195,56880.0,2008.0,54.02872791979036,0.23468290330731859,0.22436041995539854,154.0,0.12329051896948548,"{'weight_crowd': 0.14655856600444317, 'weight_tiny': 0.2566728555394199, 'weight_edge': 0.31354799215924656, 'weight_night': 0.1726943348667217, 'weight_blur': 0.11052625143016868, 'conf_easy': 0.35, 'conf_hard': 0.4, 'nms_easy': 0.7, 'nms_hard': 0.7, 'threshold_mid': 0.7089836020820056, 'threshold_high': 0.712446199417957}",True,0.36730589042780465,512.0,0.7000000000000001,COMPLETE
13,0.1264978840299948,146.0,55.15006942527967,2026-09-11 12:49:59.836343,2026-09-11 12:52:31.872975,0 days 00:02:32.036632,0.35,0.4,0.65,0.6,0.1392665136532431,0.3305796679853259,0.6355864868705622,0.013140315717808215,0.987846750430891,0.5587985830433143,0.3999806993837148,0.448748183667764,0.1254190265339835,56680.0,2000.0,55.15006942527967,0.23584575646993383,0.22659667541557305,146.0,0.1264978840299948,"{'weight_crowd': 0.15693912402459792, 'weight_tiny': 0.4689695667854907, 'weight_edge': 0.30173781436481256, 'weight_night': 0.006238222848753715, 'weight_blur': 0.06611527197634509, 'conf_easy': 0.35, 'conf_hard': 0.4, 'nms_easy': 0.65, 'nms_hard': 0.6, 'threshold_mid': 0.3999806993837148, 'threshold_high': 0.5587985830433143}",True,0.3619641046697782,513.4617006324667,0.6380358953302218,COMPLETE
14,0.2241146336030886,291.0,38.51548074094714,2026-09-11 12:52:32.054017,2026-09-11 12:55:21.132731,0 days 00:02:49.078714,0.4,0.35,0.55,0.4,0.3882706745672632,0.5241916950818849,0.8448345378628919,0.6065334719584279,0.8279103218427117,0.21768567362580807,0.815391626079877,0.5093696101182232,0.23347280674759938,45908.0,6053.0,38.51548074094714,0.34127555003403914,0.3802815416249275,291.0,0.2241146336030886,"{'weight_crowd': 0.16423379720859416, 'weight_tiny': 0.25939147296711296, 'weight_edge': 0.2646939763983024, 'weight_night': 0.19003218892715235, 'weight_blur': 0.12164856449883814, 'conf_easy': 0.4, 'conf_hard': 0.35, 'nms_easy': 0.55, 'nms_hard': 0.4, 'threshold_mid': 0.21768567362580807, 'threshold_high': 0.815391626079877}",False,0.3811544905923886,901.6893886156008,0.49346347177716565,COMPLETE
15,0.1802063998812087,174.0,43.73570009583787,2026-09-11 12:55:21.309861,2026-09-11 12:58:02.337404,0 days 00:02:41.027543,0.25,0.45,0.35,0.55,0.13918584814293655,0.1863244019406769,0.5529756559227348,0.3279853214684622,0.0015605774494256153,0.8208843210274888,0.5039872544988646,0.4762305947191759,0.19309547018650597,49848.0,5187.0,43.73570009583787,0.3011130876069045,0.32669473169756413,174.0,0.1802063998812087,"{'weight_crowd': 0.15423799371934796, 'weight_tiny': 0.0012918347373507188, 'weight_edge': 0.4577492526841342, 'weight_night': 0.2715038793941625, 'weight_blur': 0.1152170394650047, 'conf_easy': 0.25, 'conf_hard': 0.45, 'nms_easy': 0.35, 'nms_hard': 0.55, 'threshold_mid': 0.5039872544988646, 'threshold_high': 0.8208843210274888}",True,0.348265252343651,673.8102600140548,0.44826525234365094,COMPLETE
16,0.1328235206771104,163.0,52.479014213466854,2026-09-11 12:58:02.520067,2026-09-11 13:00:37.625323,0 days 00:02:35.105256,0.35,0.3,0.7,0.55,0.995825229968198,0.5030067096806221,0.8217998095004923,0.6274198266149675,0.5392727789146318,0.5735058520681964,0.9143377735167519,0.4508262191324011,0.13491214660000972,55757.0,2480.0,52.479014213466854,0.2450644291578138,0.2396914497684645,163.0,0.1328235206771104,"{'weight_crowd': 0.14423857907158608, 'weight_tiny': 0.15463797572803756, 'weight_edge': 0.2356533909436588, 'weight_night': 0.17991438788111694, 'weight_blur': 0.2855556663756006, 'conf_easy': 0.35, 'conf_hard': 0.3, 'nms_easy': 0.7, 'nms_hard': 0.55, 'threshold_mid': 0.5735058520681964, 'threshold_high': 0.9143377735167519}",True,0.33006844358665244,512.0,0.6402053307599574,COMPLETE
17,0.2103645407973866,260.0,39.80124107361284,2026-09-11 13:00:37.818142,2026-09-11 13:03:24.945925,0 days 00:02:47.127783,0.35,0.4,0.6,0.4,0.40407178668090626,0.04420811416673598,0.364447477781495,0.7531128212298928,0.12639208893611653,0.3866887379473879,0.7278310813371498,0.48398569557182974,0.2230641525209743,46806.0,6112.0,39.80124107361284,0.3257792800458485,0.3626750074471254,260.0,0.2103645407973866,"{'weight_crowd': 0.026124140556502286, 'weight_tiny': 0.07468956228586472, 'weight_edge': 0.2153649237132676, 'weight_night': 0.4450410420699997, 'weight_blur': 0.2387803313743656, 'conf_easy': 0.35, 'conf_hard': 0.4, 'nms_easy': 0.6, 'nms_hard': 0.4, 'threshold_mid': 0.3866887379473879, 'threshold_high': 0.7278310813371498}",True,0.37326956645053394,785.0456781447646,0.506921734197864,COMPLETE
18,0.17861756626327122,161.0,44.50232417070684,2026-09-11 13:03:25.131656,2026-09-11 13:06:05.805677,0 days 00:02:40.674021,0.4,0.3,0.45,0.7,0.08860412543273745,0.21416402420164876,0.6399644722655501,0.011344719936470127,0.8341739810383295,0.23807554809003573,0.9113615478615079,0.49493079522260075,0.18677992320627768,50535.0,4620.0,44.50232417070684,0.3018223725293663,0.32698394818361026,161.0,0.17861756626327122,"{'weight_crowd': 0.1197617032137102, 'weight_tiny': 0.4664746897529694, 'weight_edge': 0.3578716615943913, 'weight_night': 0.006344029942185484, 'weight_blur': 0.049547915496743644, 'conf_easy': 0.4, 'conf_hard': 0.3, 'nms_easy': 0.45, 'nms_hard': 0.7, 'threshold_mid': 0.23807554809003573, 'threshold_high': 0.9113615478615079}",True,0.37214970190350855,716.1995783555868,0.5196257452412287,COMPLETE
19,0.22559952483480586,305.0,36.09529447255197,2026-09-11 13:06:05.991418,2026-09-11 13:09:04.178490,0 days 00:02:58.187072,0.25,0.4,0.5,0.3,0.22338237529868063,0.27366265853303845,0.8788130652377852,0.5328899176297971,0.5100034321986076,0.8624808991805706,0.23536652308037215,0.5142657564712516,0.24865462580434763,43932.0,7915.0,36.09529447255197,0.35397121627092654,0.39964326614170037,305.0,0.22559952483480586,"{'weight_crowd': 0.1131421166311782, 'weight_tiny': 0.21085400586777442, 'weight_edge': 0.36333334937668427, 'weight_night': 0.22031611303947973, 'weight_blur': 0.0923544150848834, 'conf_easy': 0.25, 'conf_hard': 0.4, 'nms_easy': 0.5, 'nms_hard': 0.3, 'threshold_mid': 0.23536652308037215, 'threshold_high': 0.8624808991805706}",False,0.3117464204420485,907.5361911454673,0.41767143941060203,COMPLETE
20,0.22790110624396762,279.0,37.25816346872024,2026-09-11 13:09:04.364336,2026-09-11 13:11:58.882414,0 days 00:02:54.518078,0.3,0.45,0.3,0.6,0.3422937892772449,0.44074018636086054,0.4913802085234116,0.35056476907983325,0.7860640325023678,0.10747513939973674,0.5674343476223436,0.5095289522885329,0.23992292019278963,45178.0,6540.0,37.25816346872024,0.34607190449394054,0.3866447341023612,279.0,0.22790110624396762,"{'weight_crowd': 0.18280063398575552, 'weight_tiny': 0.32602655247139695, 'weight_edge': 0.20380400159968068, 'weight_night': 0.14539963457835114, 'weight_blur': 0.1419691773648158, 'conf_easy': 0.3, 'conf_hard': 0.45, 'nms_easy': 0.3, 'nms_hard': 0.6, 'threshold_mid': 0.10747513939973674, 'threshold_high': 0.5674343476223436}",False,0.3522484600956117,928.0,0.4044969201912235,COMPLETE
21,0.22603014329200385,289.0,37.799116278614555,2026-09-11 13:11:59.067135,2026-09-11 13:14:54.567447,0 days 00:02:55.500312,0.3,0.45,0.4,0.35,0.20312264299171878,0.09941750363166701,0.7251615496994139,0.2540706734905086,0.20023980845823536,0.24420238843830078,0.7162330641997612,0.5059559079555099,0.23661544548443858,45608.0,6226.0,37.799116278614555,0.3424687728872151,0.3807235489150963,289.0,0.22603014329200385,"{'weight_crowd': 0.06708278453394133, 'weight_tiny': 0.1351134703169397, 'weight_edge': 0.4893087656979734, 'weight_night': 0.1714362926402054, 'weight_blur': 0.13705868681094022, 'conf_easy': 0.3, 'conf_hard': 0.45, 'nms_easy': 0.4, 'nms_hard': 0.35, 'threshold_mid': 0.24420238843830078, 'threshold_high': 0.7162330641997612}",False,0.36639071566915393,928.0,0.3778697614436154,COMPLETE
22,0.14676664934293562,138.0,50.1197693019451,2026-09-11 13:14:54.758338,2026-09-11 13:17:28.606932,0 days 00:02:33.848594,0.35,0.4,0.35,0.55,0.002053499993153518,0.6872018067944927,0.5132840513084478,0.19480547427281464,0.5872694181039121,0.47806217945032947,0.9881508043254984,0.4637065493716858,0.15001855525853983,54178.0,3145.0,50.1197693019451,0.2622585969415205,0.273306477640843,138.0,0.14676664934293562,"{'weight_crowd': 0.3462646741706967, 'weight_tiny': 0.29591111621011446, 'weight_edge': 0.25863164652080944, 'weight_night': 0.09815785320820082, 'weight_blur': 0.0010347098901785502, 'conf_easy': 0.35, 'conf_hard': 0.4, 'nms_easy': 0.35, 'nms_hard': 0.55, 'threshold_mid': 0.47806217945032947, 'threshold_high': 0.9881508043254984}",True,0.3649231557030534,555.8510189739986,0.4096926228122134,COMPLETE
23,0.12958645779196673,144.0,53.41473859515693,2026-09-11 13:17:28.787078,2026-09-11 13:20:00.768853,0 days 00:02:31.981775,0.35,0.35,0.65,0.45,0.4848189006885418,0.13546849950752665,0.24773974682639754,0.3283759555282598,0.14391591134477988,0.6366994186698549,0.8629921679281382,0.4455873598835194,0.12901209334188504,56340.0,2134.0,53.41473859515693,0.23834406026973232,0.2290393121614234,144.0,0.12958645779196673,"{'weight_crowd': 0.10107183297639026, 'weight_tiny': 0.10737437121517988, 'weight_edge': 0.18483640406351193, 'weight_night': 0.24499835645386192, 'weight_blur': 0.361719035291056, 'conf_easy': 0.35, 'conf_hard': 0.35, 'nms_easy': 0.65, 'nms_hard': 0.45, 'threshold_mid': 0.6366994186698549, 'threshold_high': 0.8629921679281382}",True,0.35000000000000003,512.0,0.5647075668350277,COMPLETE
24,0.23038087460093548,270.0,37.16857745688161,2026-09-11 13:20:01.003542,2026-09-11 13:22:56.945532,0 days 00:02:55.941990,0.3,0.4,0.35,0.35,0.3268806953636857,0.2621157651373898,0.877910868487284,0.10840995010688598,0.44885562199637685,0.13534938199219218,0.28728676236279177,0.5355641631099683,0.24967310476580962,44062.0,7498.0,37.16857745688161,0.3611015551055777,0.4075780119438273,270.0,0.23038087460093548,"{'weight_crowd': 0.12949277455301997, 'weight_tiny': 0.22174766876599927, 'weight_edge': 0.43371337893805056, 'weight_night': 0.05355765312756694, 'weight_blur': 0.16148852461536325, 'conf_easy': 0.3, 'conf_hard': 0.4, 'nms_easy': 0.35, 'nms_hard': 0.35, 'threshold_mid': 0.13534938199219218, 'threshold_high': 0.28728676236279177}",True,0.34065685285732084,957.1328179901616,0.35000000000000003,COMPLETE
25,0.20212339446135572,225.0,41.8154468173866,2026-09-11 13:22:57.170712,2026-09-11 13:25:43.538620,0 days 00:02:46.367908,0.35,0.45,0.55,0.55,0.09567251828166612,0.4560689537581355,0.5932669312194949,0.27500200952769366,0.3213291097403033,0.3126025603171496,0.6483818161355172,0.4764109415426083,0.209807812367778,48309.0,5199.0,41.8154468173866,0.31357829861119313,0.3502293077091068,225.0,0.20212339446135572,"{'weight_crowd': 0.26190696751442233, 'weight_tiny': 0.18452984359646432, 'weight_edge': 0.3406957250694321, 'weight_night': 0.1579255544194905, 'weight_blur': 0.054941909400190836, 'conf_easy': 0.35, 'conf_hard': 0.45, 'nms_easy': 0.55, 'nms_hard': 0.55, 'threshold_mid': 0.3126025603171496, 'threshold_high': 0.6483818161355172}",True,0.3895175240731846,770.2375263527758,0.5499999999999999,COMPLETE
26,0.13836216497141585,145.0,50.849271792092736,2026-09-11 13:25:43.726001,2026-09-11 13:28:14.190307,0 days 00:02:30.464306,0.25,0.4,0.4,0.55,0.5520182808826664,0.6012811386148561,0.7041280842380703,0.41278271484023,0.7359730384483683,0.8270184153812138,0.7669810945713582,0.4535778801545002,0.14079063505840675,55211.0,2671.0,50.849271792092736,0.25110163038948663,0.24815581253804017,145.0,0.13836216497141585,"{'weight_crowd': 0.20001479856888763, 'weight_tiny': 0.24481975166640543, 'weight_edge': 0.2342266003221254, 'weight_night': 0.13731122807491183, 'weight_blur': 0.18362762136766975, 'conf_easy': 0.25, 'conf_hard': 0.4, 'nms_easy': 0.4, 'nms_hard': 0.55, 'threshold_mid': 0.7669810945713582, 'threshold_high': 0.8270184153812138}",True,0.3022865892601718,512.0,0.45228658926017185,COMPLETE
27,0.22729230083896354,265.0,37.44221089543698,2026-09-11 13:28:14.391578,2026-09-11 13:31:05.885562,0 days 00:02:51.493984,0.4,0.35,0.35,0.35,0.19410165010757252,0.26922483520342044,0.4625893287034208,0.11029198472915569,0.9469478956116588,0.0009575046180305691,0.006115592974872186,0.5379177572156825,0.23888960270188697,45499.0,6274.0,37.44221089543698,0.35430943362240785,0.3996647986172943,265.0,0.22729230083896354,"{'weight_crowd': 0.1357557734724161, 'weight_tiny': 0.4774954877758775, 'weight_edge': 0.23325920905762254, 'weight_night': 0.05561438521598995, 'weight_blur': 0.09787514447809387, 'conf_easy': 0.4, 'conf_hard': 0.35, 'nms_easy': 0.35, 'nms_hard': 0.35, 'threshold_mid': 0.0009575046180305691, 'threshold_high': 0.006115592974872186}",True,0.3858369680036458,960.0,0.35000000000000003,COMPLETE
28,0.18812087014626178,202.0,43.679141683260085,2026-09-11 13:31:06.072482,2026-09-11 13:33:49.698036,0 days 00:02:43.625554,0.45,0.3,0.6,0.5,0.06577952254655521,0.11373115756895413,0.8050809428991221,0.8390206923880688,0.2618346306197823,0.44555850843093114,0.9239115812917685,0.4673659703923276,0.19683647859948683,49473.0,5001.0,43.679141683260085,0.30136410065487773,0.33392449400341395,202.0,0.18812087014626178,"{'weight_crowd': 0.054535627379958304, 'weight_tiny': 0.12555324465058798, 'weight_edge': 0.38604719455205105, 'weight_night': 0.4023217632020371, 'weight_blur': 0.031542170215365456, 'conf_easy': 0.45, 'conf_hard': 0.3, 'nms_easy': 0.6, 'nms_hard': 0.5, 'threshold_mid': 0.44555850843093114, 'threshold_high': 0.9239115812917685}",True,0.38357098025580433,702.8981026001405,0.555713986837203,COMPLETE
29,0.22567376939639172,292.0,35.81301640574756,2026-09-11 13:33:49.886222,2026-09-11 13:36:47.621493,0 days 00:02:57.735271,0.4,0.25,0.3,0.45,0.4809567813146056,0.9815344426995158,0.9190254132709301,0.5204152808589695,0.07790799579881325,0.17426384974846038,0.9495786432186333,0.5173890375888661,0.2495843111443373,43717.0,8138.0,35.81301640574756,0.3556319802129356,0.40520224798458293,292.0,0.22567376939639172,"{'weight_crowd': 0.32939166903123296, 'weight_tiny': 0.026145027266155293, 'weight_edge': 0.30841435775484444, 'weight_night': 0.17464538226497264, 'weight_blur': 0.16140356368279465, 'conf_easy': 0.4, 'conf_hard': 0.25, 'nms_easy': 0.3, 'nms_hard': 0.45, 'threshold_mid': 0.17426384974846038, 'threshold_high': 0.9495786432186333}",False,0.32593489969506445,928.0,0.3740651003049355,COMPLETE
30,0.12468631672729973,129.0,53.52406798884266,2026-09-11 13:36:47.813563,2026-09-11 13:39:22.248933,0 days 00:02:34.435370,0.35,0.4,0.45,0.7,0.29873483908628135,0.41268078884539633,0.7001033719887318,0.3744551120093566,0.3732591672064446,0.9009237538386387,0.8571193150350616,0.4575398379065382,0.12260366612295603,56956.0,1863.0,53.52406798884266,0.23552209489573994,0.22520949282008115,129.0,0.12468631672729973,"{'weight_crowd': 0.19112376269528739, 'weight_tiny': 0.17286653128825658, 'weight_edge': 0.3242370237405772, 'weight_night': 0.17342040604299844, 'weight_blur': 0.1383522762328805, 'conf_easy': 0.35, 'conf_hard': 0.4, 'nms_easy': 0.45, 'nms_hard': 0.7, 'threshold_mid': 0.8571193150350616, 'threshold_high': 0.9009237538386387}",True,0.3688724521458286,512.0,0.5443622607291427,COMPLETE
