HOTA,DetA,AssA,MOTA,IDF1,IDS,FN,FP,smoothing_window,analysis_stride,FPS,p95_ms,mean_imgsz,mean_conf,mean_nms_iou,analysis_interval_seconds,causal_history_span_seconds,feasible
0.33017334367330786,0.22042434309105516,0.505102947984635,0.18194372262231792,0.3624887285843102,273,46513,8306,1,10,45.949096118397506,39.680536750040574,725.3745607870695,0.21746916601609925,0.4733096438797676,0.3333333333333333,0.0,False
0.3306668937146844,0.22029205121961548,0.5067819639817595,0.18192887371000074,0.3629876999025119,275,46543,8275,3,5,46.83453464708337,36.70623074992818,725.2059030217849,0.21740905746213063,0.4732495353257989,0.16666666666666666,0.3333333333333333,False
0.3304784855730202,0.22000191641841674,0.5068812566259409,0.18175068676219466,0.36355148912333113,272,46562,8271,1,20,47.94370104269432,35.33733749998191,724.6999297259312,0.21770586330726502,0.47354634117093325,0.6666666666666666,0.0,False
0.3301859780581544,0.21995928287769045,0.5060396750989614,0.18133491721731382,0.36205769769395946,276,46574,8283,5,10,48.121562306468995,34.88602775030358,725.7118763176388,0.2177125679289753,0.4735530457926436,0.3333333333333333,1.3333333333333333,False
0.33016241656807255,0.21992711689777633,0.5060391933448537,0.18132006830499667,0.3620085071065463,276,46579,8279,9,10,48.3389001578122,35.343413500186216,725.7118763176388,0.21787001986420185,0.4737104977278701,0.3333333333333333,2.6666666666666665,False
0.3299935297749737,0.22042392365301,0.5045120938475691,0.18132006830499667,0.3628886057328734,283,46505,8346,1,15,47.300486557714954,35.55655575007677,725.7118763176388,0.21748045867427207,0.4733209365379404,0.5,0.0,False
0.32984708272466695,0.21984555078114343,0.5052962492729645,0.1813052193926795,0.36153854135322744,278,46585,8272,5,15,48.678942997461284,36.246852749741265,725.2059030217849,0.21785569833722185,0.47369617620089016,0.5,2.0,False
0.329761984521563,0.21974856015808344,0.5052156705875313,0.1813052193926795,0.3614110123743875,281,46608,8246,3,10,47.82431845197784,36.07948374991565,724.0252986647927,0.2176600197076925,0.47350049757136076,0.3333333333333333,0.6666666666666666,False
0.32926668394332814,0.21984080035069964,0.5036256607577974,0.1810230900586532,0.36038671396858984,278,46582,8294,9,15,43.48546801623635,40.506851750137685,725.7118763176388,0.21808369523433685,0.4739241730980051,0.5,4.0,False
0.3299505288761167,0.21984028637704056,0.5056200598666818,0.18100824114633604,0.36176922119414134,277,46582,8296,7,15,48.48745153501136,35.36573375004082,725.7118763176388,0.217982207034757,0.47382268489842533,0.5,3.0,False
